file,entity_type,en_field,ua_field,state,ua_status,ua_drafted_by,draft_revision,en_chars,ua_chars,mtime_days,defer,note
knowledge_base/hosted/content/biomarker_actionability/bma_alk_l1196m_nsclc.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,287,378,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_l1196m_nsclc.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,117,156,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_amh_ovarian_reserve_bso_timing.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,missing,,,,843,0,49,,
knowledge_base/hosted/content/biomarker_actionability/bma_amh_ovarian_reserve_bso_timing.yaml,biomarker_actionability,notes,notes_ua,missing,,,,507,0,49,,
knowledge_base/hosted/content/biomarker_actionability/bma_apc_crc.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,1281,1405,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_apc_crc.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,758,875,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_germline_breast.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,297,421,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_germline_breast.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,186,249,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_germline_pdac.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,251,396,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_germline_pdac.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,99,165,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_germline_prostate.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,260,407,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_germline_prostate.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,171,237,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_loss_cll.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,299,406,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_loss_cll.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,168,234,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_atm_loss_mcl.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,256,310,56,,
